PlcPolicyId,Cigna,Blue_Shield,Blue_Cross,Anthem,Aetna
7050069,,,,1,
7050202,,,,1,
7050778,,,,1,
7052322,,,,1,
7052733,,,,1,
7053855,,,,1,
7054549,,,,1,
7055404,,,,1,
7055660,,,,1,
7055844,,,,1,
7055885,,,,1,
7056751,,,,1,
7056842,,,,1,
7058214,,,,1,
7058248,,,,1,
7058438,,,,1,
7058651,,,,1,
7058999,,,,1,
7060335,,,,1,
7060345,,,,1,
7060450,,,,1,
7060614,,,,1,
7060767,,,,1,
7061234,,,,1,
7061466,,,,1,
7063846,,,,1,
7064382,,,,1,
7064405,,,,1,
7064563,,,,1,
7064631,,,,1,
7065079,,,,1,
7065191,,,,1,
7066158,,,,1,
7066262,,,,1,
7066444,,,,1,
7066581,,,,1,
7066606,,,,1,
7067063,,,,1,
7067102,,,,1,
7067302,,,,1,
7068040,,,,1,
7068840,,,,1,
7069106,,,,1,
7069164,,,,1,
7058049,,,,1,
7060385,,,,1,
7061238,,,,1,
7063839,,,,1,
7066257,,,,1,
7072153,,,,1,
7069396,,,,1,
7064692,,,,1,
7041991,,,,1,
7042251,,,,1,
7043094,,,,1,
7043445,,,,1,
7043728,,,,1,
7043812,,,,1,
7044043,,,,1,
7044268,,,,1,
7044583,,,,1,
7044885,,,,1,
7045255,,,,1,
7045274,,,,1,
7045295,,,,1,
7045415,,,,1,
7045438,,,,1,
7045962,,,,1,
7046006,,,,1,
7046201,,,,1,
7046818,,,,1,
7047619,,,,1,
7048012,,,,1,
7048203,,,,1,
7048212,,,,1,
7048245,,,,1,
7048885,,,,1,
7049163,,,,1,
7049472,,,,1,
7049475,,,,1,
7049697,,,,1,
7050181,,,,1,
7050342,,,,1,
7050574,,,,1,
7050791,,,,1,
7050807,,,,1,
7050860,,,,1,
7051099,,,,1,
7051684,,,,1,
7052075,,,,1,
7052785,,,,1,
7053091,,,,1,
7053679,,,,1,
7053811,,,,1,
7053825,,,,1,
7053871,,,,1,
7053876,,,,1,
7054367,,,,1,
7054546,,,,1,
7055044,,,,1,
7055100,,,,1,
7055374,,,,1,
7055387,,,,1,
7055650,,,,1,
7055661,,,,1,
7055670,,,,1,
7056869,,,,1,
7057645,,,,1,
7057757,,,,1,
7057909,,,,1,
7058275,,,,1,
7058290,,,,1,
7058477,,,,1,
7058714,,,,1,
7058847,,,,1,
7058849,,,,1,
7059044,,,,1,
7059168,,,,1,
7059214,,,,1,
7059341,,,,1,
7059386,,,,1,
7059532,,,,1,
7059564,,,,1,
7060460,,,,1,
7060532,,,,1,
7060708,,,,1,
7060800,,,,1,
7060893,,,,1,
7060894,,,,1,
7060915,,,,1,
7061118,,,,1,
7061210,,,,1,
7061291,,,,1,
7061321,,,,1,
7061345,,,,1,
7061347,,,,1,
7061427,,,,1,
7061476,,,,1,
7061534,,,,1,
7061691,,,,1,
7062023,,,,1,
7062925,,,,1,
7062926,,,,1,
7063065,,,,1,
7063151,,,,1,
7063187,,,,1,
7063911,,,,1,
7063936,,,,1,
7064126,,,,1,
7064257,,,,1,
7064687,,,,1,
7064708,,,,1,
7064787,,,,1,
7065290,,,,1,
7065472,,,,1,
7065650,,,,1,
7065728,,,,1,
7065777,,,,1,
7066164,,,,1,
7066179,,,,1,
7066250,,,,1,
7066325,,,,1,
7066560,,,,1,
7066619,,,,1,
7066648,,,,1,
7066649,,,,1,
7066885,,,,1,
7067046,,,,1,
7067215,,,,1,
7067222,,,,1,
7067331,,,,1,
7067741,,,,1,
7068410,,,,1,
7068546,,,,1,
7068722,,,,1,
7068916,,,,1,
7069599,,,,1,
7069890,,,,1,
7071298,,,,1,
7071342,,,,1,
7053412,,,,1,
7053512,,,,1,
7055204,,,,1,
7055325,,,,1,
7056778,,,,1,
7057119,,,,1,
7057136,,,,1,
7057331,,,,1,
7057625,,,,1,
7057854,,,,1,
7058231,,,,1,
7058745,,,,1,
7058757,,,,1,
7058805,,,,1,
7058872,,,,1,
7059084,,,,1,
7059277,,,,1,
7059303,,,,1,
7059514,,,,1,
7059525,,,,1,
7059528,,,,1,
7059546,,,,1,
7059587,,,,1,
7059927,,,,1,
7060596,,,,1,
7060605,,,,1,
7060761,,,,1,
7060775,,,,1,
7060857,,,,1,
7061459,,,,1,
7062002,,,,1,
7062032,,,,1,
7062212,,,,1,
7062504,,,,1,
7062598,,,,1,
7062823,,,,1,
7062737,,,,1,
7062839,,,,1,
7063106,,,,1,
7063136,,,,1,
7063349,,,,1,
7063474,,,,1,
7063533,,,,1,
7063647,,,,1,
7064180,,,,1,
7064440,,,,1,
7065118,,,,1,
7065175,,,,1,
7065322,,,,1,
7065414,,,,1,
7065448,,,,1,
7065541,,,,1,
7066166,,,,1,
7066188,,,,1,
7066189,,,,1,
7066387,,,,1,
7066487,,,,1,
7066674,,,,1,
7066854,,,,1,
7066999,,,,1,
7067933,,,,1,
7067999,,,,1,
7068155,,,,1,
7068190,,,,1,
7068298,,,,1,
7068358,,,,1,
7068498,,,,1,
7068692,,,,1,
7069037,,,,1,
7069103,,,,1,
7069231,,,,1,
7069245,,,,1,
7069673,,,,1,
7070351,,,,1,
7070370,,,,1,
7070568,,,,1,
7070962,,,,1,
7071096,,,,1,
7071416,,,,1,
7071613,,,,1,
7063876,,,,,1
7046306,,,,,1
7048376,,,,,1
7050697,,,,,1
7052155,,,,,1
7052675,,,,,1
7054362,,,,,1
7056087,,,,,1
7057014,,,,,1
7057318,,,,,1
7057757,,,,,1
7059597,,,,,1
